,donor_id,churn_date
96,-9222334905648926039,2010-11-18
119,-9221046293875357042,2014-7-12
124,-9220698220533281647,2008-4-23
125,-9220698220533281647,2009-4-26
192,-9220570830616813965,2020-2-22
228,-9220203914489340507,2013-3-4
258,-9220203914489340507,2016-1-4
260,-9219938279047042578,2008-1-9
316,-9219368204296746334,2007-5-18
324,-9219324413928622923,2019-7-22
328,-9219087433119167496,2011-9-6
435,-9219082916682372959,2017-11-27
502,-9218141548380125191,2020-3-10
505,-9217192728966369047,2008-4-13
512,-9215985799658115407,2007-7-3
529,-9214935764843675229,2020-3-12
549,-9214369137839018291,2020-2-25
550,-9213978219509057646,2003-6-29
561,-9213677456818148948,2019-8-31
578,-9212271979894147070,2016-1-21
581,-9212250465159708191,2011-1-18
607,-9212250465159708191,2013-6-18
622,-9211684804562897344,2011-8-13
647,-9211575330909612593,2002-9-15
662,-9211338682873440220,2008-1-3
689,-9210591876946464524,2012-1-29
760,-9206596151193426466,2013-5-24
770,-9206574004651667732,2007-12-25
787,-9206116987570561188,2014-12-14
792,-9206116987570561188,2015-6-10
794,-9206116987570561188,2016-10-7
796,-9204846425147909650,2005-6-17
836,-9202291300058193639,2003-12-13
840,-9200283762982691260,2014-6-29
855,-9195045966191421805,2012-12-20
868,-9192531770702389826,2007-4-21
873,-9192243251014220152,2001-1-15
926,-9192006817090023697,2016-3-15
933,-9191404037611414266,2015-6-14
937,-9188962466213011056,2010-10-27
974,-9187211435558032428,2003-5-16
975,-9185464710486959347,2011-9-2
1001,-9183103825670200881,2006-8-10
1031,-9183103825670200881,2015-2-25
1058,-9181799462513273434,2014-4-9
1059,-9179936023185816128,2012-5-28
1082,-9176715703656572262,2011-9-26
1094,-9176410716988729157,2019-7-28
1126,-9174863321680516607,2009-8-25
1238,-9174810826221867345,2016-8-10
1266,-9173888474552876435,2017-9-28
1316,-9173650176201609632,2009-5-9
1349,-9173565472172686071,2019-1-15
1397,-9173485663129080275,2013-1-15
1457,-9173485663129080275,2019-1-15
1509,-9171448179545542208,2015-1-6
1545,-9170820426188630823,2016-11-10
1579,-9170820426188630823,2019-12-5
1597,-9170071066650169265,2012-2-25
1607,-9169889483518176915,2020-3-15
1656,-9169075782278766676,2018-7-27
1665,-9168219971129588269,2009-12-2
1679,-9168219971129588269,2011-6-2
1680,-9168207048162369076,2013-5-7
1736,-9168016609255082198,2011-8-26
1904,-9167962163666131996,2014-5-19
1908,-9167962163666131996,2014-9-19
2043,-9167334679570892411,2018-1-25
2088,-9166538386319925359,2020-3-1
2252,-9164292723238457084,2020-3-14
2287,-9163882191164050614,2013-4-9
2304,-9163882191164050614,2015-5-9
2323,-9163479845490743439,2004-5-11
2336,-9162539455089466488,2001-8-11
2409,-9162147772381283365,2008-8-20
2426,-9161885127921153878,2012-4-25
2511,-9159114435717890909,2015-12-25
2518,-9158281419287798176,2007-6-4
2649,-9158281419287798176,2018-12-4
2653,-9156978462762059239,2007-1-24
2660,-9156515941743906509,2000-12-6
2674,-9155993915912408938,2001-10-16
2777,-9155075701080952415,2017-7-21
