,index,donor_id,churn_date,month
0,16716,3261399401293593368,1989-10-16,10
1,13950,1269953564950530369,1989-6-30,6
2,13951,1269953564950530369,1990-8-15,8
3,16038,2830487195283670785,1991-10-27,10
4,2559,-7364612891311135750,1991-11-2,11
5,6800,-4241510544812761705,1991-11-2,11
6,5908,-4929115748262523784,1991-12-25,12
7,16717,3261399401293593368,1991-2-19,2
8,12238,-35231198772651245,1991-5-28,5
9,23712,8619823428659032958,1991-9-29,9
10,11821,-403327435687242489,1991-9-30,9
11,16039,2830487195283670785,1992-10-30,10
12,5909,-4929115748262523784,1992-11-26,11
13,12239,-35231198772651245,1992-6-24,6
14,16718,3261399401293593368,1992-7-24,7
15,24190,8945067555448665582,1992-8-13,8
16,13952,1269953564950530369,1992-8-13,8
17,11822,-403327435687242489,1992-8-21,8
18,23713,8619823428659032958,1992-8-21,8
19,19438,5352458705176268643,1993-1-16,1
20,6801,-4241510544812761705,1993-10-19,10
21,5910,-4929115748262523784,1993-11-21,11
22,12240,-35231198772651245,1993-7-6,7
23,11823,-403327435687242489,1993-8-24,8
24,23714,8619823428659032958,1993-8-8,8
25,24191,8945067555448665582,1993-9-11,9
26,19439,5352458705176268643,1994-1-22,1
27,16040,2830487195283670785,1994-1-6,1
28,16719,3261399401293593368,1994-1-8,1
29,5911,-4929115748262523784,1994-11-16,11
30,19440,5352458705176268643,1994-12-19,12
31,16041,2830487195283670785,1994-12-4,12
32,20048,5847035213528261201,1994-6-6,6
33,12241,-35231198772651245,1994-6-8,6
34,2560,-7364612891311135750,1994-8-26,8
35,24192,8945067555448665582,1994-9-11,9
36,23715,8619823428659032958,1994-9-11,9
37,11824,-403327435687242489,1994-9-6,9
38,6802,-4241510544812761705,1995-1-1,1
39,2561,-7364612891311135750,1995-11-3,11
40,6803,-4241510544812761705,1995-11-5,11
41,19441,5352458705176268643,1995-11-7,11
42,16042,2830487195283670785,1995-12-17,12
43,20049,5847035213528261201,1995-5-30,5
44,12242,-35231198772651245,1995-6-28,6
45,11825,-403327435687242489,1995-7-2,7
46,23716,8619823428659032958,1995-8-18,8
47,24193,8945067555448665582,1995-9-13,9
48,19442,5352458705176268643,1996-11-10,11
49,5912,-4929115748262523784,1996-3-14,3
50,2562,-7364612891311135750,1996-5-18,5
51,20050,5847035213528261201,1996-5-20,5
52,22155,7414595300468925686,1996-6-18,6
53,11826,-403327435687242489,1996-8-4,8
54,20051,5847035213528261201,1997-11-23,11
55,12243,-35231198772651245,1997-4-6,4
56,2563,-7364612891311135750,1997-6-20,6
57,22156,7414595300468925686,1997-6-23,6
58,11827,-403327435687242489,1997-7-20,7
59,19794,5635217149316434209,1998-1-27,1
60,20198,5984660363576694728,1998-12-14,12
61,2564,-7364612891311135750,1998-6-15,6
62,22157,7414595300468925686,1998-6-22,6
63,20052,5847035213528261201,1998-7-5,7
64,11828,-403327435687242489,1998-8-16,8
65,12244,-35231198772651245,1999-1-17,1
66,2565,-7364612891311135750,1999-10-29,10
67,19795,5635217149316434209,1999-2-1,2
